latitude,longitude
-31.3533,-64.3938
-36.2314,-66.9381
-28.5497,-56.0722
-32.9053,-60.6807
-31.4630,-64.2388
-28.1650,-66.2250
-22.5099,-63.7970
-33.3655,-60.1435
-29.2352,-61.7577
-31.4557,-68.7556
-25.8766,-54.5687
-33.7777,-61.9555
-37.2487,-56.9973
-39.0872,-67.0881
-32.5807,-60.7903
-27.4827,-56.7397
40.1805,44.1498
40.5640,44.7479
40.1152,44.4973
40.5078,44.7606
39.4743,46.1306
39.6494,45.8500
39.3956,46.2578
40.1138,44.5038
-34.9453,138.5882
-35.0641,117.7977
-34.5509,138.7659
-34.5034,139.0246
-38.3861,144.1828
-13.8584,136.4209
-34.2082,150.7722
-37.2385,143.0794
-16.7162,128.4031
-37.8429,147.5639
-37.5596,143.8469
-36.5344,147.4594
-33.9197,151.0332
-34.6899,142.7452
-23.5525,145.3142
-23.5490,145.3180
-23.5388,145.2732
-16.8502,145.6465
-41.7360,145.5321
-32.3953,150.9491
-35.2142,148.9872
-41.1429,146.9030
-34.7337,150.4669
-12.4262,130.9195
-38.1197,145.2665
-32.3530,149.4680
-18.6816,121.7848
-33.6219,149.1982
-35.3986,148.2463
-36.3164,140.7575
-40.7207,144.6869
-36.5763,149.1267
-32.4146,149.0998
-36.8055,147.2280
-27.1109,150.9053
-27.1128,150.9049
-34.4018,119.3888
-23.8817,133.8281
-27.4040,153.1100
-37.6878,144.9663
-29.0118,153.4335
-31.9863,141.4203
-31.9867,141.3915
-37.8180,144.8319
-17.9810,122.2046
-36.5951,149.4740
-27.6721,153.0663
-27.4036,153.1363
-32.4270,137.8380
-32.4080,137.8410
-32.6646,149.1080
-35.0025,148.5834
-20.6286,116.7821
-20.5937,116.7802
-42.2669,146.2618
-32.8835,151.7275
-24.3340,150.6280
-24.3449,150.6197
-24.3449,150.6182
-18.0278,124.1621
-32.0739,115.8914
-21.8601,140.9158
-37.7603,140.4033
-38.3577,141.3850
-20.6488,117.1407
-38.3676,141.5430
-38.4120,141.5430
-21.0767,116.1590
-38.3976,141.6209
-35.1660,149.5186
-32.7897,151.4813
-24.8692,113.6754
-42.4524,146.5977
-34.8509,135.5852
-30.3808,121.1635
-41.4787,146.1349
-37.3898,143.1140
-12.5550,130.8666
-32.9643,151.6936
-25.2800,152.3800
-22.3990,119.7320
-19.8398,147.2105
-37.9502,145.1187
-33.5086,138.1192
-22.8446,147.5855
-22.3247,119.4040
-36.7853,147.2205
-42.5064,146.6812
-32.2001,115.7737
-38.2835,141.9547
-31.5432,118.4566
-33.3310,116.2290
-33.3422,116.2612
-20.5447,147.8049
-20.5411,147.8074
-33.2099,151.5448
-26.6682,150.2700
-28.3138,153.4341
-29.9102,150.9235
-23.1521,113.7762
-38.0587,144.4056
-34.5165,149.5425
-37.1216,143.1537
-34.8050,149.4001
-27.0863,150.9430
-20.6480,116.7219
-27.1169,150.8942
-27.1169,150.8942
-27.8972,121.2698
-36.5564,147.5206
-12.4157,130.8908
-20.4947,147.7707
-25.5500,119.3170
-25.9167,113.5340
-17.3141,123.6441
-41.3505,146.2632
-20.7837,139.4833
-34.8475,138.5818
-32.2730,148.6580
-33.8204,151.0420
-33.8142,150.8537
-33.8125,150.8617
-37.2220,145.9215
-37.2431,145.8974
-17.5504,133.5393
-23.5084,148.1347
-30.4890,115.4160
-30.4882,115.3768
-38.2546,146.4137
-33.0617,151.5223
-33.8762,121.8998
-33.8927,121.7778
-33.8802,121.7690
-21.9465,114.1250
-41.6732,146.2687
-18.1956,125.5597
-35.6762,143.4553
-28.7701,114.6485
-22.9281,148.5515
-23.8508,151.2187
-32.1097,150.9982
-32.4598,151.1286
-42.8415,147.2550
-28.3250,150.3750
-42.7405,145.9828
-32.0228,116.0129
-33.7029,150.8312
-35.0507,117.7638
-28.9043,115.1119
-34.3155,146.1094
-34.6100,149.4760
-34.6149,149.4597
-34.6977,149.3861
-36.3501,148.4135
-38.0535,145.2699
-33.3855,138.7928
-33.3487,138.7517
-33.3397,138.7323
-33.5226,138.8552
-18.2328,127.6619
-20.5048,147.7671
-19.7330,147.0483
-20.4877,147.7449
-38.2731,146.3923
-32.1650,115.8008
-34.8490,138.7203
-42.8883,147.2888
-33.9050,120.1299
-33.9078,120.1297
-20.8750,144.1700
-36.1066,147.0326
-32.8360,151.4505
-32.3893,150.9664
-19.6422,147.4016
-19.5167,147.1065
-25.1940,152.2086
-34.0734,150.7427
-38.2753,146.4263
-38.2746,146.4249
-36.4351,148.6333
-42.1548,145.5345
-35.5620,148.3055
-26.3712,120.5776
-27.4453,153.1185
-19.5223,147.4152
-31.9768,115.9988
-27.8995,114.1946
-30.7378,121.5065
-30.8737,121.4842
-31.1919,121.6741
-34.7230,150.4795
-34.4154,142.2521
-17.7670,145.5779
-20.7626,116.8375
-14.4587,132.2445
-33.1633,115.7805
-36.3966,141.7474
-18.8900,144.1400
-39.9388,143.8920
-26.9177,150.7493
-17.8313,145.6034
-15.7796,128.7395
-32.1970,115.7759
-32.1946,115.7797
-32.2225,115.7661
-32.1973,115.7754
-32.2020,115.7728
-32.2243,115.7783
-37.4567,140.7827
-37.7815,140.4058
-37.8149,140.4195
-37.7505,140.3930
-33.3110,146.4092
-42.2537,146.6207
-37.9047,146.8011
-30.8792,150.4914
-36.9129,146.3921
-15.8690,144.8620
-12.3892,130.9254
-28.6216,122.3965
-28.8096,122.4150
-37.8416,144.7887
-20.7835,139.4864
-27.8141,120.6990
-41.6038,146.1390
-37.4271,144.1222
-28.8811,121.3213
-42.3763,146.5099
-32.3713,150.9776
-32.3761,150.9797
-23.0875,148.4390
-32.5645,137.5572
-38.2236,147.1657
-35.1097,138.4910
-42.0147,145.5261
-37.3027,145.8458
-38.2536,146.5746
-38.2564,146.5864
-34.0293,151.0021
-34.0481,150.9739
-38.0648,142.1844
-21.1446,149.1591
-41.6997,145.6461
-18.5890,146.2580
-32.5079,115.7590
-33.1733,148.7180
-21.1649,119.7419
-25.5476,152.7171
-38.1809,146.4479
-16.4335,136.0935
-36.8584,147.2345
-42.6112,146.8457
-26.5952,118.4830
