name,capacity_mw
Broken Hill Solar Plant,53.0
Brooklyn,2.83
Broome,39.6
Brown Mountain,4.95
Browns Plains,2.2
Bulwer Island,33.0
Bungala I,110.0
Bungala II,110.0
Burrendong,19.0
Burrinjuck Power Station,27.0
Burrup Peninsula (Karratha Gas Plant),240.0
Burrup Peninsula (Pluto Phase 1),160.0
Butlers Gorge,14.4
CSIRO Energy Centre,1.5
Callide A,30.0
Callide B,700.0
Callide C,840.0
Camballin,1.04
Canning Vale,4.0
Cannington Mine,40.0
Canunda Wind Farm,46.0
Cape Bridgewater Wind Farm,58.0
Cape Lambert,105.0
Cape Nelson North Wind Farm,22.0
Cape Nelson South Wind Farm,44.0
Cape Preston,450.0
Cape Sir William Grant Wind Farm,54.0
Capital Hill Wind Farm,140.0
Capral (Aluminium Smelter),300.0
Carnarvon,15.0
Catagunya,48.0
Cathedral Rocks Wind Farm,66.0
Cawse Nickel Mine,21.0
Cethana,85.0
Challicum Hills Wind Farm,52.5
Channel Island,310.0
Charlestown Square,2.8
Childers,75.0
Christmas Creek Iron Ore Mine,58.0
Clare Solar Farm,130.0
Claytons,11.0
Clements Gap Wind Farm,57.0
Clermont Solar Farm,100.0
Cloudbreak,44.0
Clover,30.0
Cluny,17.0
Cockburn,240.0
Codrington Wind Farm,18.2
Collgar Wind Farm,206.0
Collie (Bluewaters),416.0
Collie A,340.0
Collinsville,190.0
Collinsville Solar Farm,42.0
Colongra,724.0
Condamine A,144.0
Condong Sugar Mill,30.0
Copeton,24.0
Coral Bay Diesel Backup,2.24
Corio,1.0
Crookwell Wind Farm,4.8
Crowlands Wind Farm,80.0
Cullerin Range Wind Farm,30.0
Daandine,33.0
Dampier,120.0
Darling Downs,644.0
Darling Downs Solar Farm,110.0
Darlot Gold Mine,11.7
Dartmouth (Mount Beauty Hydro Scheme),150.0
Darwin DRW,4.0
Daydream Solar Farm ,50.0
DeGrussa,10.6
Denham Diesel Backup,1.6
Derby,12.53
Devils Gate,60.0
Diamantina,242.0
Dry Creek,156.0
Dubbo,30.0
EarthPower Biomass Plant,3.9
Eastern Creek,5.4
Eastern Creek 2,8.984
Eildon,120.0
Eildon Small Hydro,5.0
Elliott,1.0
Emerald Solar Farm,68.0
Emu Downs,20.0
Emu Downs Wind Farm,79.2
Energy Brix,195.0
Eraring,41.5
Esperance,33.0
Esperance Wind Farm Nine Mile Beach,3.6
Esperance Wind Farm Ten Mile Lagoon,2.03
Exmouth,8.0
Fisher,43.2
Fitzroy Crossing,4.06
Gannawarra Solar Farm,60.0
Geraldton,21.0
German Creek,45.2
Gladstone,1680.0
Glenbawn,5.8
Glennies Creek,13.0
Glenorchy,1.6
Goondiwindi,4.5
Gordon,432.0
Gosnells,1.1
Grange Avenue,2.0
Grasmere Wind Farm (Albany Stage II),13.8
Greenough River Solar Farm,10.0
Griffith Solar Farm,36.0
Gullen,10.0
Gullen Range Wind Farm,165.5
Gunning,47.0
Guthega,80.0
Hallam Road,8.984
Hallet 5 - The Bluff,52.5
Hallett,228.3
Hallett 1 Brown Hill Wind Farm,94.5
Hallett 2 Hallet Hill Wind Farm,71.4
Halls Creek,3.69
Hamilton Solar Farm,69.0
Haughton River Solar Farm,500.0
Hayman Solar Farm,180.0
Hazelwood,1600.0
Henderson,3.2
Highbury,2.0
Hobart,1.0
Hopetoun Diesel Backup,1.3
Hopetoun Wind Turbines,1.2
Hughendon,20.0
Hume,70.0
Hunter,29.0
Hunter Valley,50.0
Inkerman Sugar Mill,10.5
Invicta Sugar Mill,150.0
Isis Central Sugar Mill,25.0
Jacks Gully,2.3
Jeeralang A,204.0
Jeeralang B,228.0
Jindabyne Dam Mini Hydro,1.1
John Butters,144.0
Jounama,14.0
Jundee Gold Mine,21.0
KRC Cogeneration Plant,4.2
Kalamia Sugar Mill,9.0
Kalamunda,1.3
Kalbarri Wind Farm,1.7
Kalgoorlie (Parkeston),110.0
Kalgoorlie Nickel Smelter,42.0
Kambalda,42.0
Kangaroo Valley (Shoalhaven Scheme),160.0
Karadoc Solar Farm,112.0
Kareeya,88.0
Karratha,86.0
Katherine,34.7
Kemerton,260.9
Kiata Wind Farm,31.05
Kidston I,50.0
King Island (Currie),8.55
Kogan Creek,744.0
Koombooloomba,7.3
Kununurra,12.4
Kwinana,21.0
Kwinana (Alcoa Refinery),74.5
Kwinana Cogeneration,123.0
Kwinana High Efficiency Gas Turbine Plant,200.0
Kwinana NewGen,320.0
Kwinana Swift,120.0
Ladbroke Grove,80.0
Lake Bonney Stage 1 Wind Farm,80.5
